862,Shipping Schedule,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Message Reference Num,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Forecast Time
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW100-MC,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,0,EA,F,20250703,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,16333-EW020-C,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,0,EA,F,20250704,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,16333-EW020-CO,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,0,EA,F,20250705,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,16333-EW020-FI,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,0,EA,F,20250706,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,16333-EW020-LK,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39340,0,EA,F,20250623,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,16333-EW020-MC,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,140,EA,F,20250624,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,17118-EW020,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,0,EA,F,20250625,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,17118-EW020-CO,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,0,EA,F,20250626,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,17118-EW020-FI,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,0,EA,F,20250627,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,17118-EW020-MC,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,0,EA,F,20250628,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,17138-EW030,SGVYAT,TP,,,CHULEEPORN,4604201,2506000024,560,20250610,39340,20250101,20250610,39480,0,EA,F,20250629,
